,name,value,in_cocktail,ingredient
223,Raspberry Liqueur,1.0,True,raspberry
286,Raspberry vodka,1.0,True,raspberry vodka
392,,,True,rhubarb stalks
323,Ricard,1.0,True,ricard
329,Sirup of roses,1.0,True,rose
258,Rosemary Syrup,1.0,True,rosemary
352,Roses sweetened lime juice,1.0,True,roses  lime
275,Rosso Vermouth,1.0,True,rosso vermouth
25,Light rum,43.0,True,rum
284,Rumple Minze,1.0,True,rumple minze
201,Rye Whiskey,1.0,True,rye whiskey
139,Salt,6.0,True,salt
334,Salted Chocolate,1.0,True,salted chocolate
108,Sambuca,10.0,True,sambuca
362,Sarsaparilla,1.0,True,sarsaparilla
195,Schweppes Russchian,3.0,True,schweppes russchian
91,Scotch,15.0,True,scotch
159,Sherry,5.0,True,sherry
401,,,True,simple 
167,Sloe gin,5.0,True,sloe gin
74,Soda water,9.0,True,soda water
73,Sour mix,9.0,True,sour mix
127,Southern Comfort,8.0,True,southern comfort
376,Soy Sauce,1.0,True,soy
213,Spiced rum,3.0,True,spiced rum
137,Sprite,6.0,True,sprite
145,Strawberries,6.0,True,stberries
241,Strawberry liqueur,2.0,True,stberry
214,Strawberry schnapps,3.0,True,stberry schnapps
4,Sugar,51.0,True,sugar
202,Surge,3.0,True,surge
96,Sweet and Sour,2.0,True,sweet
59,Sweet Vermouth,25.0,True,sweet vermouth
163,Tabasco sauce,5.0,True,tabasco
181,Tea,4.0,True,tea
300,Tennessee whiskey,1.0,True,tennessee whiskey
56,Tequila,28.0,True,tequila
338,Thyme,1.0,True,thyme
262,Tia maria,2.0,True,tia maria
253,Tomato Juice,2.0,True,tomato
164,Tonic water,5.0,True,tonic
39,Triple sec,36.0,True,triple sec
408,,,True,triple sec (cointreau)
364,Tropicana,1.0,True,tropicana
398,,,True,turmeric 
177,Vanilla syrup,1.0,True,vanilla
155,Vanilla ice-cream,5.0,True,vanilla ice-cream
361,Vanilla vodka,1.0,True,vanilla vodka
57,Dry Vermouth,26.0,True,vermouth
2,Vodka,94.0,True,vodka
61,Water,24.0,True,water
244,Watermelon,2.0,True,watermelon
410,,,True,watermelon 
123,Blended whiskey,8.0,True,whiskey
303,Whisky,1.0,True,whisky
119,Red wine,9.0,True,wine
278,Worcestershire Sauce,1.0,True,worcestershire
256,Wormwood,2.0,True,wormwood
245,Yellow Chartreuse,2.0,True,yellow chartreuse
297,Yukon Jack,1.0,True,yukon jack
260,Zima,2.0,True,zima
